,INS_NM,JAB_NM,JENIS_FORMASI_NM,JUM_PENDAFTAR,JUM_PERJAB,LINK_WEB_INS_DAFTAR,LOKASI_NM,PENDIDIKAN_NM,ROWNUM
13,Pemerintah Kab. Kepulauan Sangihe,GURU TK AHLI PERTAMA,UMUM,0,2,,TK NEGERI PEMBINA TAMAKO,S-1 PGTK/PAUD,14
14,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN BELLAE MALAMENGGU,S-1 PGSD,15
15,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,2,,SDN INPRES AHA PATUNG,S-1 PGSD,16
16,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN KALAGHENG,S-1 PGSD,17
17,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN INPRES MAHUMU,S-1 PGSD,18
18,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN LELAPIDE,S-1 PGSD,19
19,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN INPRES KALAENGBATU,S-1 PGSD,20
20,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN INPRES BATUWINGKUNG,S-1 PGSD,21
21,Badan Nasional Penanggulangan Bencana,TEKNISI PERALATAN DAN MESIN,UMUM,0,1,https://drive.google.com/drive/folders/16H3rN6LJXotpCpj1Wb_y5cVKsko8brG0?usp=sharing,Direktorat Peralatan,D-III TEKNIK MESIN,22
22,Pemerintah Kab. Seluma,PENYULUH PERTANIAN AHLI PERTAMA,UMUM,0,3,https://bkpsdm.selumakab.go.id/wp-content/uploads/2018/09/PENGUMUMAN-CPNS-2018-min_opt-1.pdf,PEMERINTAH KABUPATEN SELUMA PROVINSI BENGKULU,S-1 PERTANIAN,23
23,Pemerintah Kab. Seluma,GURU SENI DAN BUDAYA AHLI PERTAMA,UMUM,0,6,https://bkpsdm.selumakab.go.id/wp-content/uploads/2018/09/PENGUMUMAN-CPNS-2018-min_opt-1.pdf,PEMERINTAH KABUPATEN SELUMA PROVINSI BENGKULU,D-IV PENDIDIKAN SENI,24
24,Pemerintah Kab. Tasikmalaya,INSTRUKTUR AHLI PERTAMA,UMUM,0,3,https://www.tasikmalayakab.go.id/index.php/en/cari/lain-lain/send/14-lain-lain/168-penetapan-kebutuhan-formasi-cpns-kabupaten-tasikmalaya-2018,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH DAN TENAGA KERJA",S-1 TEKNIK INDUSTRI,25
25,Pemerintah Kab. Tasikmalaya,INSTRUKTUR AHLI PERTAMA,UMUM,0,2,https://www.tasikmalayakab.go.id/index.php/en/cari/lain-lain/send/14-lain-lain/168-penetapan-kebutuhan-formasi-cpns-kabupaten-tasikmalaya-2018,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH DAN TENAGA KERJA",S-1 PRODUKSI GARMEN,26
26,Pemerintah Kab. Tasikmalaya,INSTRUKTUR AHLI PERTAMA,UMUM,0,2,https://www.tasikmalayakab.go.id/index.php/en/cari/lain-lain/send/14-lain-lain/168-penetapan-kebutuhan-formasi-cpns-kabupaten-tasikmalaya-2018,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH DAN TENAGA KERJA",S-1/D-IV TEKNIK MESIN,27
27,Pemerintah Kota Tangerang,GURU BIMBINGAN KONSELING AHLI PERTAMA,UMUM,0,2,https://bkpsdm.tangerangkota.go.id/apps/read/artikel/164/Berita-BKPSDM/Pengumuman-Penerimaan-CPNS-Kota-Tangerang-Tahun-2018,SMPN 26 Kota Tangerang,S-1 BIMBINGAN KONSELING,28
28,Pemerintah Kota Tangerang,GURU BIMBINGAN KONSELING AHLI PERTAMA,UMUM,0,2,https://bkpsdm.tangerangkota.go.id/apps/read/artikel/164/Berita-BKPSDM/Pengumuman-Penerimaan-CPNS-Kota-Tangerang-Tahun-2018,SMPN 27 Kota Tangerang,S-1 BIMBINGAN KONSELING,29
29,Pemerintah Kota Tangerang,DOKTER AHLI PERTAMA,UMUM,0,3,https://bkpsdm.tangerangkota.go.id/apps/read/artikel/164/Berita-BKPSDM/Pengumuman-Penerimaan-CPNS-Kota-Tangerang-Tahun-2018,Puskesmas Manis Jaya,DOKTER UMUM,30
30,Pemerintah Kota Tangerang,ADMINISTRATOR KESEHATAN AHLI PERTAMA,UMUM,0,2,https://bkpsdm.tangerangkota.go.id/apps/read/artikel/164/Berita-BKPSDM/Pengumuman-Penerimaan-CPNS-Kota-Tangerang-Tahun-2018,Puskesmas Manis Jaya,S-1/D-IV ADMINISTRASI RUMAH SAKIT,31
31,Pemerintah Kota Tangerang,ADMINISTRATOR KESEHATAN AHLI PERTAMA,UMUM,0,1,https://bkpsdm.tangerangkota.go.id/apps/read/artikel/164/Berita-BKPSDM/Pengumuman-Penerimaan-CPNS-Kota-Tangerang-Tahun-2018,Puskesmas Cikokol,S-1/D-IV ADMINISTRASI RUMAH SAKIT,32
32,Pemerintah Kab. Barito Selatan,GURU KELAS AHLI PERTAMA,UMUM,0,2,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,SDN 2 RANGGA ILUNG,S-1 PGSD,33
33,Pemerintah Kab. Barito Selatan,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,SDN MURUNG PAKEN,S-1 PGSD,34
34,Pemerintah Kab. Barito Selatan,DOKTER AHLI PERTAMA,UMUM,0,1,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,UPTD PUSKESMAS BUNTOK,DOKTER UMUM,35
35,Pemerintah Kab. Barito Selatan,DOKTER AHLI PERTAMA,UMUM,0,1,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,UPTD PUSKESMAS PENDANG,DOKTER UMUM,36
36,Pemerintah Kab. Barito Selatan,DOKTER GIGI AHLI PERTAMA,UMUM,0,1,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,UPTD PUSKESMAS BARU,DOKTER GIGI,37
37,Pemerintah Kab. Barito Selatan,PERAWAT AHLI PERTAMA,UMUM,0,1,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,UPTD PUSKESMAS RANTAU KUJANG,S-1 KEPERAWATAN (NERS),38
38,Pemerintah Kab. Barito Selatan,APOTEKER AHLI PERTAMA,UMUM,0,1,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,UPTD PUSKESMAS SABABILAH,APOTEKER,39
39,Pemerintah Kab. Barito Selatan,NUTRISIONIS AHLI PERTAMA,UMUM,0,1,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,UPTD PUSKESMAS BUNTOK,S-1 GIZI,40
40,Pemerintah Kab. Barito Selatan,NUTRISIONIS AHLI PERTAMA,UMUM,0,1,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,UPTD PUSKESMAS SABABILAH,S-1 GIZI,41
41,Pemerintah Kab. Barito Selatan,GURU PKN AHLI PERTAMA,UMUM,0,1,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,SMPN 2 JENAMAS,S-1 PENDIDIKAN KEWARGANEGARAAN,42
42,Pemerintah Kab. Barito Selatan,GURU PKN AHLI PERTAMA,UMUM,0,1,http://bkpsdm.baritoselatankab.go.id/rincian-penetapan-kebutuhan-pns-kab-barito-selatan-tahun-2018,SMPN 1 JENAMAS,S-1 PENDIDIKAN KEWARGANEGARAAN,43
43,Pemerintah Kab. Tapin,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN BATUNG KEC PIANI,S-1 PGSD,44
44,Pemerintah Kab. Tapin,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN BINUANG 5 KEC BINUANG,S-1 PGSD,45
45,Pemerintah Kab. Tapin,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN HATUNGUN 2 KEC HATUNGUN,S-1 PGSD,46
46,Pemerintah Kab. Tapin,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN MARAMPIAU HILIR KEC CLS,S-1 PGSD,47
47,Pemerintah Kab. Tapin,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN SALAM BABARIS 4 KEC SALBA,S-1 PGSD,48
48,Pemerintah Kab. Tapin,GURU AGAMA ISLAM AHLI PERTAMA,UMUM,0,1,,SDN ASAM RANDAH KEC HATUNGUN,S-1 PENDIDIKAN AGAMA ISLAM,49
49,Pemerintah Kab. Tapin,GURU AGAMA ISLAM AHLI PERTAMA,UMUM,0,1,,SDN PABAUNGAN HULU KEC CLS,S-1 PENDIDIKAN AGAMA ISLAM,50
50,Pemerintah Kab. Tapin,GURU AGAMA ISLAM AHLI PERTAMA,UMUM,0,1,,SDN SWATO 1 KEC SALBA,S-1 PENDIDIKAN AGAMA ISLAM,51
51,Pemerintah Kab. Tapin,GURU BK AHLI PERTAMA,UMUM,0,1,,SMPN 2 SALAM BABARIS,S-1 BIMBINGAN KONSELING,52
52,Pemerintah Kab. Tapin,GURU PENJAS AHLI PERTAMA,UMUM,0,1,,SDN BAULIN KEC CLS,S-1 PENDIDIKAN JASMANI DAN KESEHATAN,53
53,Pemerintah Kab. Tapin,DOKTER GIGI AHLI PERTAMA,UMUM,0,1,,PUSKESMAS MARGASARI,DOKTER GIGI (PROFESI),54
54,Pemerintah Kab. Tapin,BIDAN TERAMPIL,UMUM,0,7,,RSUD DATU SANGGUL KAB TAPIN,D-III BIDAN,55
55,Pemerintah Kab. Minahasa,GURU BAHASA INGGRIS AHLI PERTAMA,UMUM,0,1,,SMPN 10 SATAP TONDANO,S-1 PENDIDIKAN BAHASA INGGRIS,56
56,Pemerintah Kab. Minahasa,GURU BIMBINGAN KONSELING AHLI PERTAMA,UMUM,0,1,,SMPN 2 TOMBARIRI,S-1 PENDIDIKAN BIMBINGAN KONSELING,57
57,Pemerintah Kab. Minahasa,GURU KELAS AHLI PERTAMA,UMUM,0,2,,SD INPRES SASARAN,S-1 PENDIDIKAN GURU SEKOLAH DASAR (PGSD),58
58,Pemerintah Kab. Minahasa,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SD INPRES 4(82 LEMOH,S-1 PENDIDIKAN GURU SEKOLAH DASAR (PGSD),59
59,Pemerintah Kab. Poso,PRANATA LABORATORIUM KESEHATAN TERAMPIL,UMUM,0,1,http://bit.ly/2xjxVeH,Rumah Sakit Umum Daerah Poso,D-III LABORATORIUM KESEHATAN,60
60,Pemerintah Kab. Poso,PENYULUH KESEHATAN MASYARAKAT AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,Puskesmas Doda,S-1 KESEHATAN MASYARAKAT,61
61,Pemerintah Kab. Poso,PENYULUH KESEHATAN MASYARAKAT AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,Puskesmas Pendolo,S-1 KESEHATAN MASYARAKAT,62
62,Pemerintah Kab. Poso,ANALIS JALAN DAN JEMBATAN,UMUM,0,3,http://bit.ly/2xjxVeH,Dinas Pekerjaan Umum,S-1 TEKNIK SIPIL,63
63,Pemerintah Kab. Poso,GURU PENJASKES AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SMPN SATAP Toyado,S-1 PENDIDIKAN JASMANI,64
64,Pemerintah Kab. Tojo Una Una,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SD NEGERI 1 TETE,S-1 PGSD,65
65,Pemerintah Kab. Tojo Una Una,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SD NEGERI 18 AMPANA,S-1 PGSD,66
66,Pemerintah Kab. Tojo Una Una,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SD NEGERI 2 KALIA,S-1 PGSD,67
67,Pemerintah Kab. Tojo Una Una,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SD NEGERI 2 KATOGOP,S-1 PGSD,68
68,Pemerintah Kab. Tojo Una Una,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SD NEGERI KAINYOLE,S-1 PGSD,69
69,Pemerintah Kab. Tojo Una Una,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SD NEGERI LUOK,S-1 PGSD,70
70,Pemerintah Kab. Tojo Una Una,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SD NEGERI TAKIBANGKE,S-1 PGSD,71
71,Pemerintah Kab. Tojo Una Una,GURU AGAMA ISLAM AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SD NEGERI LONGGE B,S-1 PENDIDIKAN AGAMA ISLAM,72
72,Pemerintah Kab. Tojo Una Una,GURU AGAMA KRISTEN AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SMP NEGERI 1 AMPANA KOTA,S-1 PENDIDIKAN AGAMA KRISTEN,73
73,Pemerintah Kab. Tojo Una Una,GURU PPKN AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SMP NEGERI 5 AMPANA KOTA,S-1 PENDIDIKAN KEWARGANEGARAAN,74
74,Pemerintah Kab. Tojo Una Una,GURU IPA AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,SMP NEGERI SATU ATAP MALENGE,S-1 PENDIDIKAN MIPA,75
75,Pemerintah Kab. Tojo Una Una,PERAWAT GIGI TERAMPIL,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,PUSKESMAS MAROWO,D-III KEPERAWATAN GIGI,76
76,Pemerintah Kab. Tojo Una Una,EPIDEMIOLOG KESEHATAN AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,PUSKESMAS LEBITI,S-1 KEMASYARAKATAN EPIDEMICOLOGY,77
77,Pemerintah Kab. Tojo Una Una,EPIDEMIOLOG KESEHATAN AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,PUSKESMAS POPOLI'I,S-1 KEMASYARAKATAN EPIDEMICOLOGY,78
78,Pemerintah Kab. Tojo Una Una,NUTRISIONIS TERAMPIL,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,PUSKESMAS MATAKO,D-III GIZI,79
79,Pemerintah Kab. Tojo Una Una,NUTRISIONIS TERAMPIL,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,PUSKESMAS TOMBIANO,D-III GIZI,80
80,Pemerintah Kab. Tojo Una Una,NUTRISIONIS TERAMPIL,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,RUMAH SAKIT UMUM DAERAH AMPANA,D-III GIZI,81
81,Pemerintah Kab. Tojo Una Una,BIDAN TERAMPIL,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,PUSKESMAS DATARAN BULAN,D-III KEBIDANAN,82
82,Pemerintah Kab. Tojo Una Una,BIDAN TERAMPIL,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,PUSKESMAS MAROWO,D-III KEBIDANAN,83
83,Pemerintah Kab. Tojo Una Una,PERAWAT TERAMPIL,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,PUSKESMAS MATAKO,D-III KESEHATAN KEPERAWATAN,84
84,Pemerintah Kab. Tojo Una Una,RADIOGRAFER TERAMPIL,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,RUMAH SAKIT UMUM DAERAH WAKAI,D-III RADIOLOGI,85
85,Pemerintah Kab. Tojo Una Una,ADMINISTRATOR KESEHATAN AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,PUSKESMAS DATARAN BULAN,S-1 ADMINISTRASI KESEHATAN MASYARAKAT,86
86,Pemerintah Kab. Tojo Una Una,ADMINISTRATOR KESEHATAN AHLI PERTAMA,UMUM,0,1,https://drive.google.com/file/d/1Y0wGr8pi2GfuSkONp1sHesCwUEPm5mG0/view?usp=sharing,PUSKESMAS MATAKO,S-1 ADMINISTRASI KESEHATAN MASYARAKAT,87
87,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN INPRES MAHENA,S-1 PGSD,88
88,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN INPRES LEBO,S-1 PGSD,89
89,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN PEDINE BAKALAENG,S-1 PGSD,90
90,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN MATUTUANG,S-1 PGSD,91
91,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN INPRES DAPULUHE,S-1 PGSD,92
92,Pemerintah Kab. Kepulauan Sangihe,GURU KELAS AHLI PERTAMA,UMUM,0,1,,SDN INPRES TINAKARENG,S-1 PGSD,93
93,Pemerintah Kota Bitung,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SDN INPRES 5-81 KARONDORAN,S-1 PENDIDIKAN GURU SEKOLAH DASAR (PGSD),94
94,Pemerintah Kota Bitung,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SD NEGERI SAGERAT,S-1 PENDIDIKAN GURU SEKOLAH DASAR (PGSD),95
95,Pemerintah Kota Bitung,GURU PENJASORKES AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SD NEGERI PANCURAN,S-1 PENDIDIKAN OLAHRAGA DAN KESEHATAN,96
96,Pemerintah Kota Bitung,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SDN INPRES 5-81 MAWALI,S-1 PENDIDIKAN GURU SEKOLAH DASAR (PGSD),97
97,Pemerintah Kota Bitung,GURU PENJASORKES AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SMP NEGERI 1 BITUNG,S-1 PENDIDIKAN OLAHRAGA DAN KESEHATAN,98
98,Pemerintah Kota Bitung,GURU MATEMATIKA AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SMP NEGERI 9 BITUNG,S-1 PENDIDIKAN MATEMATIKA,99
99,Pemerintah Kota Bitung,GURU PPKN AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SMP NEGERI 10 BITUNG,S-1 PENDIDIKAN KEWARGANEGARAAN,100
100,Pemerintah Kota Bitung,GURU PPKN AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SMP NEGERI 12 BITUNG,S-1 PENDIDIKAN KEWARGANEGARAAN,101
101,Pemerintah Kota Bitung,GURU PPKN AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SMP NEGERI 15 BITUNG,S-1 PENDIDIKAN KEWARGANEGARAAN,102
102,Pemerintah Kota Bitung,GURU BAHASA INDONESIA AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SMP NEGERI 3 BITUNG,S-1 PENDIDIKAN BAHASA INDONESIA,103
103,Pemerintah Kota Bitung,GURU BAHASA INDONESIA AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SMP NEGERI 17 BITUNG,S-1 PENDIDIKAN BAHASA INDONESIA,104
104,Pemerintah Kota Bitung,PERAWAT TERAMPIL,UMUM,0,1,http://tiny.cc/cpnsbitung,PKM BITUNG BARAT,D-III KEPERAWATAN,105
105,Pemerintah Kota Bitung,PERAWAT TERAMPIL,UMUM,0,1,http://tiny.cc/cpnsbitung,PKM PAPUSUNGAN,D-III KEPERAWATAN,106
106,Pemerintah Kota Bitung,PERAWAT TERAMPIL,UMUM,0,1,http://tiny.cc/cpnsbitung,PKM PINTU KOTA,D-III KEPERAWATAN,107
107,Pemerintah Kota Bitung,PERAWAT TERAMPIL,UMUM,0,1,http://tiny.cc/cpnsbitung,PKM SAGERAT,D-III KEPERAWATAN,108
108,Pemerintah Kota Bitung,GURU BAHASA INGGRIS AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,SMP NEGERI 5 BITUNG,S-1 PENDIDIKAN BAHASA INGGRIS,109
109,Pemerintah Kota Bitung,PERAWAT GIGI TERAMPIL,UMUM,0,1,http://tiny.cc/cpnsbitung,RSUD KOTA BITUNG,D-III KEPERAWATAN GIGI,110
110,Pemerintah Kota Bitung,SANITARIAN TERAMPIL,UMUM,0,1,http://tiny.cc/cpnsbitung,PKM DANOWUDU,D-III KESEHATAN LINGKUNGAN,111
111,Pemerintah Kota Bitung,PRANATA KEARSIPAN,UMUM,0,1,http://tiny.cc/cpnsbitung,PKM PINTU KOTA,D-III KEARSIPAN,112
112,Pemerintah Kota Bitung,APOTEKER AHLI PERTAMA,UMUM,0,1,http://tiny.cc/cpnsbitung,PKM GIRIAN WRU,S-1 APOTEKER,113
113,Pemerintah Kab. Poso,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SDN 1 Boe Kec. Pamona Selatan,S-1 PGSD,114
114,Pemerintah Kab. Poso,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SDN Dongi-Dongi Kec. Lore Utara,S-1 PGSD,115
115,Pemerintah Kab. Poso,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SDN Kaduwaa Kec. Lore Utara,S-1 PGSD,116
116,Pemerintah Kab. Poso,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SDN Maholo Kec Lore Timur,S-1 PGSD,117
117,Pemerintah Kab. Poso,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,"SDN Torire Kec. Lore Tengah
",S-1 PGSD,118
118,Pemerintah Kab. Poso,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SDN Beau Kec. Lore Piore,S-1 PGSD,119
119,Pemerintah Kab. Poso,GURU KELAS AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SDN Bewa Kec. Lore Selatan,S-1 PGSD,120
120,Pemerintah Kab. Poso,GURU MATEMATIKA AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SMPN 3 Kec. Poso Pesisir,S-1 PENDIDIKAN MATEMATIKA,121
121,Pemerintah Kab. Poso,GURU IPA AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SMPN 1 Kec. Lore Selatan,S-1 PENDIDIKAN IPA,122
122,Pemerintah Kab. Poso,GURU BAHASA INGGRIS AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SMPN 2 Kec. Lore Tengah,S-1 PENDIDIKAN BAHASA INGGRIS,123
123,Pemerintah Kab. Poso,GURU BAHASA INGGRIS AHLI PERTAMA,UMUM,0,1,http://bit.ly/2xjxVeH,SMPN 1 Kec. Lore Barat,S-1 PENDIDIKAN BAHASA INGGRIS,124
